2022-11-25 11:30:29,420 [main] INFO  com.example.demo.DemoApplication 55 - Starting DemoApplication using Java 17.0.4.1 on June4693-450G7 with PID 28072 (C:\Users\june.wu\Documents\GitHub\cameldemo1123_multifn\spring1124_multifn\demo\target\classes started by June.Wu in C:\Users\june.wu\Documents\GitHub\cameldemo1123_multifn\spring1124_multifn\demo)
2022-11-25 11:30:33,128 [Camel (camel-3) thread #1 - file:///Users/june.wu/Desktop/cameltest/fileMove] INFO  route1 166 - {CamelFileAbsolute=true, CamelFileAbsolutePath=C:\Users\june.wu\Desktop\cameltest\fileMove\hi.txt.txt, CamelFileLastModified=1669017289161, CamelFileLength=17, CamelFileName=hi.txt.txt, CamelFileNameConsumed=hi.txt.txt, CamelFileNameOnly=hi.txt.txt, CamelFileParent=C:\Users\june.wu\Desktop\cameltest\fileMove, CamelFilePath=C:\Users\june.wu\Desktop\cameltest\fileMove\hi.txt.txt, CamelFileRelativePath=hi.txt.txt, CamelMessageTimestamp=1669017289161}
2022-11-25 11:30:33,128 [Camel (camel-3) thread #1 - file:///Users/june.wu/Desktop/cameltest/fileMove] INFO  route1 166 - hello 123 456 789
2022-11-25 11:30:33,130 [Camel (camel-3) thread #1 - file:///Users/june.wu/Desktop/cameltest/fileMove] INFO  route1 166 - {CamelFileAbsolute=true, CamelFileAbsolutePath=C:\Users\june.wu\Desktop\cameltest\fileMove\testapi1123-2.txt, CamelFileLastModified=1669262580064, CamelFileLength=732, CamelFileName=testapi1123-2.txt, CamelFileNameConsumed=testapi1123-2.txt, CamelFileNameOnly=testapi1123-2.txt, CamelFileParent=C:\Users\june.wu\Desktop\cameltest\fileMove, CamelFilePath=C:\Users\june.wu\Desktop\cameltest\fileMove\testapi1123-2.txt, CamelFileRelativePath=testapi1123-2.txt, CamelMessageTimestamp=1669262580064}
2022-11-25 11:30:33,131 [Camel (camel-3) thread #1 - file:///Users/june.wu/Desktop/cameltest/fileMove] INFO  route1 166 - 1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
2022-11-25 11:30:33,133 [Camel (camel-3) thread #1 - file:///Users/june.wu/Desktop/cameltest/fileMove] INFO  route1 166 - {CamelFileAbsolute=true, CamelFileAbsolutePath=C:\Users\june.wu\Desktop\cameltest\fileMove\testapi1123.txt, CamelFileLastModified=1669262580064, CamelFileLength=732, CamelFileName=testapi1123.txt, CamelFileNameConsumed=testapi1123.txt, CamelFileNameOnly=testapi1123.txt, CamelFileParent=C:\Users\june.wu\Desktop\cameltest\fileMove, CamelFilePath=C:\Users\june.wu\Desktop\cameltest\fileMove\testapi1123.txt, CamelFileRelativePath=testapi1123.txt, CamelMessageTimestamp=1669262580064}
2022-11-25 11:30:33,133 [Camel (camel-3) thread #1 - file:///Users/june.wu/Desktop/cameltest/fileMove] INFO  route1 166 - 1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
2022-11-25 11:30:42,104 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3386 - Apache Camel 3.17.0 (camel-3) shutting down (timeout:45s)
2022-11-25 11:30:42,108 [main] INFO  o.a.c.i.engine.AbstractCamelContext 166 - Routes stopped (total:1 stopped:1)
2022-11-25 11:30:42,109 [main] INFO  o.a.c.i.engine.AbstractCamelContext 166 -     Stopped route1 (file:///Users/june.wu/Desktop/cameltest/fileMove)
2022-11-25 11:30:42,110 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3525 - Apache Camel 3.17.0 (camel-3) shutdown in 6ms (uptime:10s28ms)
2022-11-25 11:30:42,110 [main] INFO  com.example.demo.Camel 41 - finally!
2022-11-25 11:31:09,790 [SpringApplicationShutdownHook] INFO  o.a.c.i.engine.AbstractCamelContext 3386 - Apache Camel 3.17.0 (camel-2) shutting down (timeout:45s)
2022-11-25 11:31:09,790 [SpringApplicationShutdownHook] INFO  o.a.c.i.engine.AbstractCamelContext 166 - Routes stopped (total:0 stopped:0)
2022-11-25 11:31:09,791 [SpringApplicationShutdownHook] INFO  o.a.c.i.engine.AbstractCamelContext 3525 - Apache Camel 3.17.0 (camel-2) shutdown in 1ms (uptime:37s858ms)
2022-11-25 11:34:31,927 [main] INFO  com.example.demo.DemoApplication 55 - Starting DemoApplication using Java 17.0.4.1 on June4693-450G7 with PID 20164 (C:\Users\june.wu\Documents\GitHub\cameldemo1123_multifn\spring1124_multifn\demo\target\classes started by June.Wu in C:\Users\june.wu\Documents\GitHub\cameldemo1123_multifn\spring1124_multifn\demo)
2022-11-25 11:34:31,932 [main] INFO  com.example.demo.DemoApplication 645 - No active profile set, falling back to 1 default profile: "default"
2022-11-25 11:34:33,336 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 108 - Tomcat initialized with port(s): 8080 (http)
2022-11-25 11:34:33,346 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8080"]
2022-11-25 11:34:33,346 [main] INFO  o.a.catalina.core.StandardService 173 - Starting service [Tomcat]
2022-11-25 11:34:33,346 [main] INFO  o.a.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.69]
2022-11-25 11:34:33,495 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] 173 - Initializing Spring embedded WebApplicationContext
2022-11-25 11:34:33,495 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext 290 - Root WebApplicationContext: initialization completed in 1509 ms
2022-11-25 11:34:34,281 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Starting ProtocolHandler ["http-nio-8080"]
2022-11-25 11:34:34,312 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 220 - Tomcat started on port(s): 8080 (http) with context path ''
2022-11-25 11:34:34,371 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3004 - Apache Camel 3.17.0 (camel-2) is starting
2022-11-25 11:34:34,377 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3165 - Routes startup (total:0 started:0)
2022-11-25 11:34:34,377 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3194 - Apache Camel 3.17.0 (camel-2) started in 61ms (build:10ms init:47ms start:4ms)
2022-11-25 11:34:34,384 [main] INFO  com.example.demo.DemoApplication 61 - Started DemoApplication in 2.892 seconds (JVM running for 3.437)
2022-11-25 11:34:34,391 [main] INFO  com.example.demo.Camel 17 - 哈囉
2022-11-25 11:34:34,521 [main] INFO  o.a.c.component.file.FileEndpoint 126 - Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2022-11-25 11:34:34,521 [main] INFO  o.a.c.component.file.FileEndpoint 132 - Using default memory based idempotent repository with cache max size: 1000
2022-11-25 11:34:34,524 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3004 - Apache Camel 3.17.0 (camel-3) is starting
2022-11-25 11:34:34,540 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3165 - Routes startup (total:1 started:1)
2022-11-25 11:34:34,540 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3170 -     Started route1 (file:///Users/june.wu/Desktop/cameltest/fileMove)
2022-11-25 11:34:34,540 [main] INFO  o.a.c.i.engine.AbstractCamelContext 3194 - Apache Camel 3.17.0 (camel-3) started in 118ms (build:3ms init:99ms start:16ms)
2022-11-25 11:34:35,560 [Camel (camel-3) thread #1 - file:///Users/june.wu/Desktop/cameltest/fileMove] INFO  route1 166 - {CamelFileAbsolute=true, CamelFileAbsolutePath=C:\Users\june.wu\Desktop\cameltest\fileMove\a.txt, CamelFileLastModified=1669271199421, CamelFileLength=11, CamelFileName=a.txt, CamelFileNameConsumed=a.txt, CamelFileNameOnly=a.txt, CamelFileParent=C:\Users\june.wu\Desktop\cameltest\fileMove, CamelFilePath=C:\Users\june.wu\Desktop\cameltest\fileMove\a.txt, CamelFileRelativePath=a.txt, CamelMessageTimestamp=1669271199421}
2022-11-25 11:34:35,561 [Camel (camel-3) thread #1 - file:///Users/june.wu/Desktop/cameltest/fileMove] INFO  route1 166 - 哈囉~~~~~
2022-11-25 11:34:35,564 [Camel (camel-3) thread #1 - file:///Users/june.wu/Desktop/cameltest/fileMove] INFO  route1 166 - {CamelFileAbsolute=true, CamelFileAbsolutePath=C:\Users\june.wu\Desktop\cameltest\fileMove\abc1.txt - 複製.txt, CamelFileLastModified=1669010181844, CamelFileLength=13, CamelFileName=abc1.txt - 複製.txt, CamelFileNameConsumed=abc1.txt - 複製.txt, CamelFileNameOnly=abc1.txt - 複製.txt, CamelFileParent=C:\Users\june.wu\Desktop\cameltest\fileMove, CamelFilePath=C:\Users\june.wu\Desktop\cameltest\fileMove\abc1.txt - 複製.txt, CamelFileRelativePath=abc1.txt - 複製.txt, CamelMessageTimestamp=1669010181844}
2022-11-25 11:34:35,565 [Camel (camel-3) thread #1 - file:///Users/june.wu/Desktop/cameltest/fileMove] INFO  route1 166 - hello 123 456
2022-11-25 11:34:35,567 [Camel (camel-3) thread #1 - file:///Users/june.wu/Desktop/cameltest/fileMove] INFO  route1 166 - {CamelFileAbsolute=true, CamelFileAbsolutePath=C:\Users\june.wu\Desktop\cameltest\fileMove\abc1.txt.txt, CamelFileLastModified=1669010181844, CamelFileLength=13, CamelFileName=abc1.txt.txt, CamelFileNameConsumed=abc1.txt.txt, CamelFileNameOnly=abc1.txt.txt, CamelFileParent=C:\Users\june.wu\Desktop\cameltest\fileMove, CamelFilePath=C:\Users\june.wu\Desktop\cameltest\fileMove\abc1.txt.txt, CamelFileRelativePath=abc1.txt.txt, CamelMessageTimestamp=1669010181844}
2022-11-25 11:34:35,567 [Camel (camel-3) thread #1 - file:///Users/june.wu/Desktop/cameltest/fileMove] INFO  route1 166 - hello 123 456
2022-11-25 11:34:35,568 [Camel (camel-3) thread #1 - file:///Users/june.wu/Desktop/cameltest/fileMove] INFO  route1 166 - {CamelFileAbsolute=true, CamelFileAbsolutePath=C:\Users\june.wu\Desktop\cameltest\fileMove\b.txt, CamelFileLastModified=1669271199421, CamelFileLength=11, CamelFileName=b.txt, CamelFileNameConsumed=b.txt, CamelFileNameOnly=b.txt, CamelFileParent=C:\Users\june.wu\Desktop\cameltest\fileMove, CamelFilePath=C:\Users\june.wu\Desktop\cameltest\fileMove\b.txt, CamelFileRelativePath=b.txt, CamelMessageTimestamp=1669271199421}
2022-11-25 11:34:35,569 [Camel (camel-3) thread #1 - file:///Users/june.wu/Desktop/cameltest/fileMove] INFO  route1 166 - 哈囉~~~~~
2022-11-25 11:34:35,571 [Camel (camel-3) thread #1 - file:///Users/june.wu/Desktop/cameltest/fileMove] INFO  route1 166 - {CamelFileAbsolute=true, CamelFileAbsolutePath=C:\Users\june.wu\Desktop\cameltest\fileMove\hi.txt.txt, CamelFileLastModified=1669017289161, CamelFileLength=17, CamelFileName=hi.txt.txt, CamelFileNameConsumed=hi.txt.txt, CamelFileNameOnly=hi.txt.txt, CamelFileParent=C:\Users\june.wu\Desktop\cameltest\fileMove, CamelFilePath=C:\Users\june.wu\Desktop\cameltest\fileMove\hi.txt.txt, CamelFileRelativePath=hi.txt.txt, CamelMessageTimestamp=1669017289161}
